0.005,15.8
0.01,8.8
0.015,7.4
0.02,7.6
0.025,6.8
0.03,5.7
0.035,4.2
0.04,2.7
0.045,4.0
0.05,2.8
0.055,2.3
0.06,2.6
0.065,2.8
0.07,2.0
0.075,2.2
0.08,2.2
0.085,2.0
0.09,2.3
0.095,2.0
0.1,1.9
0.105,2.2
0.11,2.8
0.115,3.2
0.12,2.0
0.125,2.4
0.13,2.5
0.135,3.2
0.14,2.8
0.145,2.6
0.15,2.4
0.155,2.3
0.16,2.2
0.165,2.3
0.17,2.4
0.175,2.9
0.18,3.5
0.185,2.0
0.19,2.6
0.195,2.1
0.2,1.8
0.205,2.1
0.21,3.0
0.215,4.3
0.22,4.6
0.225,3.4
0.23,6.4
0.235,4.8
0.24,6.1
0.245,5.2
0.25,4.1
0.255,4.2
0.26,4.2
0.265,4.3
0.27,5.1
0.275,5.1
0.28,1.9
0.285,1.7
0.29,1.6
0.295,2.3
0.3,1.5
0.305,2.0
0.31,2.0
0.315,1.9
0.32,3.1
0.325,3.8
0.33,1.9
0.335,1.6
0.34,1.7
0.345,1.5
0.35,1.4
0.355,1.5
0.36,2.2
0.365,2.1
0.37,2.4
0.375,2.2
0.38,2.0
0.385,1.5
0.39,1.4
0.395,1.5
0.4,1.4
0.405,1.5
0.41,1.4
0.415,2.3
0.42,2.0
0.425,3.0
0.43,3.0
0.435,2.3
0.44,1.7
0.445,1.6
0.45,1.7
0.455,1.6
0.46,1.6
0.465,1.6
0.47,4.8
0.475,2.3
0.48,3.1
0.485,1.9
0.49,1.7
0.495,1.6
0.5,1.5
0.505,1.3
0.51,1.2
0.515,1.7
0.52,2.3
0.525,1.7
0.53,2.1
0.535,2.3
0.54,1.6
0.545,1.4
0.55,1.2
0.555,1.2
0.56,1.4
0.565,1.3
0.57,1.2
0.575,1.2
0.58,1.3
0.585,1.9
0.59,1.8
0.595,1.9
0.6,1.7
0.605,1.9
0.61,1.7
0.615,1.3
0.62,1.3
0.625,1.2
0.63,1.3
0.635,1.2
0.64,1.2
0.645,1.2
0.65,1.5
0.655,2.0
0.66,1.8
0.665,1.6
0.67,2.1
0.675,2.3
0.68,1.3
0.685,1.2
0.69,1.2
0.695,1.2
0.7,1.2
0.705,1.3
0.71,1.2
0.715,1.2
0.72,1.6
0.725,1.6
0.73,1.7
0.735,1.8
0.74,1.9
0.745,1.9
0.75,1.8
0.755,1.4
0.76,1.1
0.765,1.0
0.77,1.0
0.775,1.2
0.78,1.0
0.785,1.0
0.79,1.0
0.795,1.6
0.8,1.2
0.805,1.7
0.81,1.6
0.815,1.8
0.82,1.9
0.825,1.7
0.83,1.1
0.835,1.0
0.84,1.0
0.845,1.0
0.85,1.0
0.855,1.1
0.86,1.1
0.865,1.1
0.87,1.0
0.875,1.5
0.88,1.6
0.885,2.0
0.89,1.7
0.895,2.2
0.9,2.3
0.905,1.1
0.91,1.1
0.915,1.2
0.92,1.1
0.925,3.4
0.93,3.3
0.935,1.7
0.94,2.5
0.945,2.4
0.95,2.5
0.955,1.8
0.96,1.1
0.965,1.0
0.97,1.0
0.975,1.0
0.98,1.1
0.985,1.0
0.99,1.4
0.995,1.3
1.0,2.2
1.005,3.1
1.01,3.2
1.015,1.8
1.02,1.5
1.025,1.1
1.03,1.1
1.035,1.0
1.04,1.1
1.045,1.0
1.05,1.1
1.055,1.0
1.06,1.2
1.065,1.1
1.07,1.5
1.075,1.6
1.08,2.1
1.085,1.8
1.09,1.8
1.095,1.7
1.1,1.2
1.105,1.1
1.11,1.1
1.115,1.4
1.12,1.3
1.125,1.3
1.13,1.5
1.135,1.3
1.14,1.4
1.145,1.7
1.15,1.9
1.155,1.7
1.16,1.9
1.165,1.6
1.17,1.6
1.175,1.2
1.18,1.0
1.185,1.0
1.19,1.0
1.195,1.0
1.2,1.1
1.205,1.1
1.21,1.4
1.215,1.2
1.22,2.1
1.225,1.9
1.23,1.9
1.235,1.8
1.24,1.7
1.245,1.4
1.25,1.3
1.255,1.4
1.26,1.1
1.265,1.0
1.27,1.1
1.275,1.0
1.28,1.1
1.285,1.1
1.29,1.7
1.295,1.2
1.3,1.8
1.305,1.5
1.31,2.0
1.315,1.5
1.32,1.6
1.325,1.1
1.33,1.0
1.335,1.1
1.34,1.0
1.345,1.0
1.35,1.0
1.355,1.0
1.36,1.1
1.365,1.2
1.37,1.1
1.375,1.7
1.38,1.7
1.385,1.5
1.39,1.8
1.395,1.7
1.4,1.6
1.405,1.4
1.41,1.1
1.415,1.1
1.42,1.0
1.425,1.0
1.43,1.0
1.435,1.0
1.44,1.0
1.445,1.1
1.45,1.5
1.455,1.5
1.46,1.8
1.465,1.5
1.47,1.6
1.475,1.8
1.48,1.7
1.485,1.3
1.49,1.0
1.495,1.0
1.5,1.0
